word_id,p_target_human,p_target_model,target_quartile,overlap_at_5,overlap_at_10,overlap_at_20,overlap_at_50,overlap_at_100,weighted_overlap_at_5,weighted_overlap_at_10,weighted_overlap_at_20,weighted_overlap_at_50,weighted_overlap_at_100
узкой,0.0,0.0,Q3,0.14285714285714285,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.3333333333333332,0.3809523809523808,0.3809523809523808,0.3809523809523808,0.3809523809523808
узнал,0.1724137931034483,0.0,Q4,0.11428571428571428,0.11428571428571428,0.2,0.2,0.22857142857142856,0.3362068965517239,0.3362068965517239,0.46551724137931,0.46551724137931,0.4741379310344824
уйма,0.0,0.0,Q3,0.25,0.25,0.25,0.25,0.25,0.35,0.35,0.35,0.35,0.35
уйти,0.0,0.0,Q3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3333333333333332,0.3333333333333332,0.3333333333333332,0.3333333333333332,0.3333333333333332
урон,0.0,0.0,Q3,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.0392156862745098,0.0392156862745098,0.0392156862745098,0.0392156862745098,0.0392156862745098
урчала,0.0078125,0.0,Q3,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.3984375,0.3984375,0.3984375,0.3984375,0.3984375
ускользать,0.0384615384615384,0.0946266482771515,Q3,0.29411764705882354,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.2115384615384613,0.2884615384615381,0.2884615384615381,0.2884615384615381,0.2884615384615381
установить,0.0,0.0,Q3,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.1333333333333333
ухо,0.0833333333333333,0.207755543247403,Q4,0.2777777777777778,0.2777777777777778,0.2777777777777778,0.2777777777777778,0.2777777777777778,0.7812499999999997,0.7812499999999997,0.7812499999999997,0.7812499999999997,0.7812499999999997
фарш,0.0,0.0,Q3,0.5,0.625,0.625,0.625,0.625,0.7777777777777777,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333
фен,0.0,0.0,Q3,0.061224489795918366,0.08163265306122448,0.08163265306122448,0.08163265306122448,0.08163265306122448,0.232,0.256,0.256,0.256,0.256
хаки,0.3076923076923077,0.0,Q4,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0769230769230768,0.0769230769230768,0.0769230769230768,0.0769230769230768,0.0769230769230768
хмурила,0.0,0.0,Q3,0.12903225806451613,0.12903225806451613,0.12903225806451613,0.12903225806451613,0.12903225806451613,0.48684210526315785,0.48684210526315785,0.48684210526315785,0.48684210526315785,0.48684210526315785
центре,0.631578947368421,0.5975809177071755,Q4,0.4,0.4,0.4,0.4,0.4,0.8421052631578946,0.8421052631578946,0.8421052631578946,0.8421052631578946,0.8421052631578946
шаг,0.0549450549450549,0.0,Q3,0.05454545454545454,0.05454545454545454,0.05454545454545454,0.05454545454545454,0.05454545454545454,0.1538461538461536,0.1538461538461536,0.1538461538461536,0.1538461538461536,0.1538461538461536
шлейф,0.25,0.5842738490120795,Q4,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.625,0.625,0.625,0.625,0.625
штатив,0.0733333333333333,0.0181653149704634,Q4,0.1,0.1,0.1,0.1,0.1,0.4066666666666665,0.4066666666666665,0.4066666666666665,0.4066666666666665,0.4066666666666665
юлин,0.0,0.0,Q3,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.2641509433962263,0.2641509433962263,0.2641509433962263,0.2641509433962263,0.2641509433962263
юный,0.0,0.0,Q3,0.038461538461538464,0.07692307692307693,0.11538461538461539,0.15384615384615385,0.15384615384615385,0.5217391304347826,0.536231884057971,0.5507246376811593,0.5797101449275361,0.5797101449275361
