word_id,H_human,H_model,entropy_quartile,overlap_at_5,weighted_overlap_at_5,overlap_at_10,weighted_overlap_at_10,overlap_at_20,weighted_overlap_at_20,overlap_at_50,weighted_overlap_at_50,overlap_at_100,weighted_overlap_at_100
молоко,2.5520852976209656,1.185772941445958,Q3,0.14285714285714285,0.1578947368421052,0.14285714285714285,0.1578947368421052,0.14285714285714285,0.1578947368421052,0.14285714285714285,0.1578947368421052,0.14285714285714285,0.1578947368421052
мопед,2.252728336819822,0.9198861671291532,Q2,0.125,0.375,0.125,0.375,0.125,0.375,0.125,0.375,0.125,0.375
мужу,3.1202334110705374,0.7679262486100753,Q4,0.13636363636363635,0.28235294117647025,0.13636363636363635,0.28235294117647025,0.13636363636363635,0.28235294117647025,0.13636363636363635,0.28235294117647025,0.13636363636363635,0.28235294117647025
мяли,2.5665989181145106,0.9077922529840381,Q3,0.16666666666666666,0.25,0.16666666666666666,0.25,0.16666666666666666,0.25,0.16666666666666666,0.25,0.16666666666666666,0.25
называют,1.20333204069947,0.7855346799012457,Q1,0.2,0.5882352941176471,0.2,0.5882352941176471,0.2,0.5882352941176471,0.2,0.5882352941176471,0.2,0.5882352941176471
напряжение,1.8413903748459723,1.6063355784426634,Q2,0.14285714285714285,0.2,0.42857142857142855,0.3999999999999999,0.42857142857142855,0.3999999999999999,0.42857142857142855,0.3999999999999999,0.42857142857142855,0.3999999999999999
неопытным,2.7363390511050643,1.073849852741991,Q3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
несчастные,1.210557844177471,1.2137129884316178,Q1,0.5,0.5333333333333332,0.75,0.7999999999999998,0.75,0.7999999999999998,0.75,0.7999999999999998,0.75,0.7999999999999998
неявное,3.4784285041861436,1.3882646234808769,Q4,0.0625,0.158878504672897,0.08333333333333333,0.1682242990654203,0.08333333333333333,0.1682242990654203,0.08333333333333333,0.1682242990654203,0.08333333333333333,0.1682242990654203
новой,2.3723502877036786,1.3629946068693497,Q3,0.16666666666666666,0.4285714285714284,0.25,0.5238095238095236,0.25,0.5238095238095236,0.25,0.5238095238095236,0.25,0.5238095238095236
ноев,3.648066810061353,1.0827916651342142,Q4,0.11363636363636363,0.18032786885245883,0.13636363636363635,0.2622950819672128,0.13636363636363635,0.2622950819672128,0.13636363636363635,0.2622950819672128,0.13636363636363635,0.2622950819672128
ножа,2.7420147295299158,0.9233492782077359,Q3,0.047619047619047616,0.37681159420289845,0.047619047619047616,0.37681159420289845,0.07142857142857142,0.39130434782608686,0.07142857142857142,0.39130434782608686,0.07142857142857142,0.39130434782608686
нюх,2.58304267644337,1.2563381127622486,Q3,0.12,0.2421052631578946,0.2,0.3684210526315787,0.2,0.3684210526315787,0.2,0.3684210526315787,0.2,0.3684210526315787
обгорели,1.495615780172503,0.9273431004085843,Q1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
обнаружена,1.78471978638691,0.5469086764872432,Q1,0.11764705882352941,0.6923076923076923,0.17647058823529413,0.7115384615384615,0.17647058823529413,0.7115384615384615,0.17647058823529413,0.7115384615384615,0.17647058823529413,0.7115384615384615
обстановка,0.8571740436420787,0.7796756756947326,Q1,0.75,0.9333333333333331,0.75,0.9333333333333331,0.75,0.9333333333333331,0.75,0.9333333333333331,0.75,0.9333333333333331
обществе,0.4437572842601484,0.5248530389845998,Q1,0.6666666666666666,0.9411764705882353,0.6666666666666666,0.9411764705882353,0.6666666666666666,0.9411764705882353,0.6666666666666666,0.9411764705882353,0.6666666666666666,0.9411764705882353
одинаковые,1.8943120247335312,1.226299621694067,Q2,0.125,0.3333333333333333,0.25,0.4666666666666666,0.25,0.4666666666666666,0.25,0.4666666666666666,0.25,0.4666666666666666
омоет,1.977006172908861,1.128638247339508,Q2,0.25,0.4375,0.25,0.4375,0.25,0.4375,0.25,0.4375,0.25,0.4375
орехового,2.53617274964332,1.1151036477986414,Q3,0.10714285714285714,0.0958904109589041,0.10714285714285714,0.0958904109589041,0.10714285714285714,0.0958904109589041,0.10714285714285714,0.0958904109589041,0.10714285714285714,0.0958904109589041
осы,2.6895783874064643,0.6824821750606802,Q3,0.13793103448275862,0.5507246376811594,0.1724137931034483,0.5797101449275361,0.20689655172413793,0.5942028985507245,0.20689655172413793,0.5942028985507245,0.20689655172413793,0.5942028985507245
отдельная,2.5665989181145106,0.7374683103891689,Q3,0.15384615384615385,0.125,0.15384615384615385,0.125,0.15384615384615385,0.125,0.15384615384615385,0.125,0.15384615384615385,0.125
открытая,0.6984181367046884,0.7888108499486136,Q1,0.2857142857142857,0.8571428571428571,0.42857142857142855,0.9047619047619047,0.5714285714285714,0.9523809523809523,0.5714285714285714,0.9523809523809523,0.5714285714285714,0.9523809523809523
пахучим,1.6827025241216713,1.9130626256082923,Q1,0.36363636363636365,0.4505494505494504,0.5454545454545454,0.9450549450549449,0.5454545454545454,0.9450549450549449,0.5454545454545454,0.9450549450549449,0.5454545454545454,0.9450549450549449
пластмассы,1.8288411561741988,1.189108891037122,Q2,0.25,0.5714285714285713,0.25,0.5714285714285713,0.25,0.5714285714285713,0.25,0.5714285714285713,0.25,0.5714285714285713
повторили,1.859428815149228,1.1007718240705664,Q2,0.2857142857142857,0.4666666666666665,0.2857142857142857,0.4666666666666665,0.2857142857142857,0.4666666666666665,0.2857142857142857,0.4666666666666665,0.2857142857142857,0.4666666666666665
подвинул,2.1873223188492537,0.9766511146730357,Q2,0.2,0.25,0.2,0.25,0.2,0.25,0.2,0.25,0.2,0.25
подруга,3.728949710467526,0.5689473048891932,Q4,0.06521739130434782,0.1097560975609755,0.06521739130434782,0.1097560975609755,0.06521739130434782,0.1097560975609755,0.06521739130434782,0.1097560975609755,0.06521739130434782,0.1097560975609755
покрывало,1.6459168300174678,1.6804924702613584,Q1,0.42857142857142855,0.7647058823529411,0.42857142857142855,0.7647058823529411,0.42857142857142855,0.7647058823529411,0.5714285714285714,0.8235294117647058,0.5714285714285714,0.8235294117647058
полный,2.347437588209869,1.2296997278304969,Q3,0.15384615384615385,0.4210526315789473,0.15384615384615385,0.4210526315789473,0.15384615384615385,0.4210526315789473,0.15384615384615385,0.4210526315789473,0.15384615384615385,0.4210526315789473
получает,2.0177460728092216,0.8970065482833165,Q2,0.2222222222222222,0.4705882352941176,0.3333333333333333,0.5294117647058822,0.3333333333333333,0.5294117647058822,0.3333333333333333,0.5294117647058822,0.3333333333333333,0.5294117647058822
пополнела,1.9927981441098426,1.4793508054658162,Q2,0.0,0.0,0.1111111111111111,0.125,0.1111111111111111,0.125,0.1111111111111111,0.125,0.1111111111111111,0.125
