word_id,n_human_lemmas,overlap_at_5,weighted_overlap_at_5,surface_match_at_5,surface_weighted_match_at_5,overlap_at_10,weighted_overlap_at_10,surface_match_at_10,surface_weighted_match_at_10,overlap_at_15,weighted_overlap_at_15,surface_match_at_15,surface_weighted_match_at_15,overlap_at_20,weighted_overlap_at_20,surface_match_at_20,surface_weighted_match_at_20,overlap_at_50,weighted_overlap_at_50,surface_match_at_50,surface_weighted_match_at_50,overlap_at_100,weighted_overlap_at_100,surface_match_at_100,surface_weighted_match_at_100,overlap_at_200,weighted_overlap_at_200,surface_match_at_200,surface_weighted_match_at_200
новой,12,0.16666666666666666,0.4285714285714284,0.15384615384615385,0.2857142857142856,0.25,0.5238095238095236,0.3076923076923077,0.5238095238095236,0.25,0.5238095238095236,0.3076923076923077,0.5238095238095236,0.25,0.5238095238095236,0.3076923076923077,0.5238095238095236,0.25,0.5238095238095236,0.3076923076923077,0.5238095238095236,0.25,0.5238095238095236,0.3076923076923077,0.5238095238095236,0.25,0.5238095238095236,0.3076923076923077,0.5238095238095236
фарш,8,0.5,0.7777777777777777,0.5,0.7777777777777777,0.625,0.8333333333333333,0.625,0.8333333333333333,0.625,0.8333333333333333,0.625,0.8333333333333333,0.625,0.8333333333333333,0.625,0.8333333333333333,0.625,0.8333333333333333,0.625,0.8333333333333333,0.625,0.8333333333333333,0.625,0.8333333333333333,0.625,0.8333333333333333,0.625,0.8333333333333333
нюх,25,0.12,0.2421052631578946,0.12,0.2421052631578946,0.2,0.3684210526315787,0.2,0.3684210526315787,0.2,0.3684210526315787,0.2,0.3684210526315787,0.2,0.3684210526315787,0.2,0.3684210526315787,0.2,0.3684210526315787,0.2,0.3684210526315787,0.2,0.3684210526315787,0.2,0.3684210526315787,0.2,0.3684210526315787,0.2,0.3684210526315787
ноев,44,0.11363636363636363,0.18032786885245877,0.08888888888888889,0.163934426229508,0.13636363636363635,0.26229508196721274,0.1111111111111111,0.24590163934426199,0.13636363636363635,0.26229508196721274,0.1111111111111111,0.24590163934426199,0.13636363636363635,0.26229508196721274,0.1111111111111111,0.24590163934426199,0.13636363636363635,0.26229508196721274,0.1111111111111111,0.24590163934426199,0.13636363636363635,0.26229508196721274,0.1111111111111111,0.24590163934426199,0.13636363636363635,0.26229508196721274,0.1111111111111111,0.24590163934426199
крен,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
миссионеры,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
журчание,14,0.14285714285714285,0.1666666666666666,0.06666666666666667,0.125,0.14285714285714285,0.1666666666666666,0.06666666666666667,0.125,0.14285714285714285,0.1666666666666666,0.06666666666666667,0.125,0.14285714285714285,0.1666666666666666,0.06666666666666667,0.125,0.14285714285714285,0.1666666666666666,0.06666666666666667,0.125,0.14285714285714285,0.1666666666666666,0.06666666666666667,0.125,0.14285714285714285,0.1666666666666666,0.06666666666666667,0.125
есть,14,0.14285714285714285,0.23809523809523803,0.13333333333333333,0.1904761904761904,0.14285714285714285,0.23809523809523803,0.13333333333333333,0.1904761904761904,0.14285714285714285,0.23809523809523803,0.13333333333333333,0.1904761904761904,0.14285714285714285,0.23809523809523803,0.13333333333333333,0.1904761904761904,0.14285714285714285,0.23809523809523803,0.13333333333333333,0.1904761904761904,0.14285714285714285,0.23809523809523803,0.13333333333333333,0.1904761904761904,0.14285714285714285,0.23809523809523803,0.13333333333333333,0.1904761904761904
лопоухая,38,0.07894736842105263,0.056338028169014,0.075,0.056338028169014,0.10526315789473684,0.084507042253521,0.1,0.084507042253521,0.10526315789473684,0.084507042253521,0.1,0.084507042253521,0.10526315789473684,0.084507042253521,0.1,0.084507042253521,0.10526315789473684,0.084507042253521,0.1,0.084507042253521,0.10526315789473684,0.084507042253521,0.1,0.084507042253521,0.10526315789473684,0.084507042253521,0.1,0.084507042253521
молоко,14,0.14285714285714285,0.1578947368421052,0.14285714285714285,0.1578947368421052,0.14285714285714285,0.1578947368421052,0.14285714285714285,0.1578947368421052,0.14285714285714285,0.1578947368421052,0.14285714285714285,0.1578947368421052,0.14285714285714285,0.1578947368421052,0.14285714285714285,0.1578947368421052,0.14285714285714285,0.1578947368421052,0.14285714285714285,0.1578947368421052,0.14285714285714285,0.1578947368421052,0.14285714285714285,0.1578947368421052,0.14285714285714285,0.1578947368421052,0.14285714285714285,0.1578947368421052
рыть,14,0.07142857142857142,0.0625,0.07142857142857142,0.0625,0.07142857142857142,0.0625,0.07142857142857142,0.0625,0.07142857142857142,0.0625,0.07142857142857142,0.0625,0.07142857142857142,0.0625,0.07142857142857142,0.0625,0.07142857142857142,0.0625,0.07142857142857142,0.0625,0.07142857142857142,0.0625,0.07142857142857142,0.0625,0.07142857142857142,0.0625,0.07142857142857142,0.0625
подвинул,10,0.2,0.25,0.2,0.25,0.2,0.25,0.2,0.25,0.2,0.25,0.2,0.25,0.2,0.25,0.2,0.25,0.2,0.25,0.2,0.25,0.2,0.25,0.2,0.25,0.2,0.25,0.2,0.25
заявление,9,0.3333333333333333,0.5999999999999999,0.3333333333333333,0.5999999999999999,0.3333333333333333,0.5999999999999999,0.3333333333333333,0.5999999999999999,0.3333333333333333,0.5999999999999999,0.3333333333333333,0.5999999999999999,0.3333333333333333,0.5999999999999999,0.3333333333333333,0.5999999999999999,0.3333333333333333,0.5999999999999999,0.3333333333333333,0.5999999999999999,0.3333333333333333,0.5999999999999999,0.3333333333333333,0.5999999999999999,0.3333333333333333,0.5999999999999999,0.3333333333333333,0.5999999999999999
обгорели,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
